gene,drug,gene_symbol_of_protein_target,tumor_type,Q_value,p_value,correlation_r,data_size,gex_dir,gex_r,gex_z,gex_num_cells,cnv_dir,cnv_r,cnv_z,cnv_num_cells,Q_value_dep,p_value_dep,correlation_r_dep,data_size_dep
RBFOX1,SKI-II,SPHK1,PanCancer,1.7526310597095511,0.0005359728011344193,-0.16763654019095237,423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
TPTE,CAY10576,IKBKE,PanCancer,1.954234285432249,0.0005976251637407489,0.16761366035085376,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.932526747030991,0.8220877911718318,-0.010629290240150585,450.0
RBFOX1,fluorouracil,TYMS,PanCancer,2.373051848758813,0.0007257039292840406,-0.16034965154176112,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,BMS-345541,IKBKB,PanCancer,8.132884332668802,0.0024871205910302146,-0.14654112133734473,424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,BRD-K07442505,BAX,PanCancer,8.25311537898787,0.002523888495103324,-0.14333213823765797,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,serdemetan,MDM2,PanCancer,10.983873519691741,0.0033589827277344772,-0.14262952408375323,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
HLA-DQB1,BMS-754807,IGF1R,PanCancer,11.291729212955163,0.003453128199680478,0.13865430023897024,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4427653167824426,0.5737942194637404,0.030655353389180382,339.0
TPTE,AA-COCF3,FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D,PanCancer,11.41907875461189,0.00349207301364278,0.14023519538959356,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.932526747030991,0.8220877911718318,-0.010629290240150585,450.0
HLA-DQA1,KU-55933,ATM,PanCancer,23.012128469388085,0.007037348155776173,-0.12904938633125249,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.724591185474282,0.7874318642457138,0.01469871262956253,339.0
RBFOX1,BRD1835,EZH2,PanCancer,23.067286295551966,0.007054215992523537,-0.13036354275231135,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
RBFOX1,vorinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,PanCancer,23.29630699275322,0.007124252902982636,-0.13005336239642382,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.918196001322782,0.319699333553797,0.04701314761344153,450.0
